id.jpg,label
10_ForestsClDeNe_849__0048_19_532535673470_1209247356781_CN_InnerMongolia_nan_EnheHada.jpg,10
10_ForestsClDeNe_849__0049_84_506779177644_1126947303711_RU_TransbaikalTerritory_nan_Ulety.jpg,9
10_ForestsClDeNe_850__0030_00_517443976697_1209046134157_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_850__0031_87_519053757686_1208442466286_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_850__0032_85_505974287149_1221320714199_CN_InnerMongolia_nan_Keyihe.jpg,10
10_ForestsClDeNe_850__0033_03_517242754073_1209649802028_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_850__0034_80_507181622891_1127752194205_RU_TransbaikalTerritory_nan_Aksha.jpg,10
10_ForestsClDeNe_850__0035_74_512413411106_1207033907921_CN_InnerMongolia_nan_Mo_erDaoga.jpg,10
10_ForestsClDeNe_850__0036_17_516236640955_1227357392909_CN_InnerMongolia_nan_Mangui.jpg,10
10_ForestsClDeNe_850__0037_29_536358903319_1050080261479_RU_Irkutsk_nan_Verholensk.jpg,11
10_ForestsClDeNe_850__0038_58_503358393042_1121715515496_RU_TransbaikalTerritory_nan_Kyra.jpg,10
10_ForestsClDeNe_850__0039_00_518248867191_1210253469899_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_851__0021_87_521468429170_1211058360394_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_851__0022_19_532133228223_1209448579404_CN_InnerMongolia_nan_EnheHada.jpg,10
10_ForestsClDeNe_851__0023_00_517645199321_1208844911533_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_851__0024_15_516035418331_1227759838156_CN_HeilongjiangSheng_nan_Huyuan.jpg,10
10_ForestsClDeNe_851__0025_00_518450089815_1210253469899_CN_InnerMongolia_nan_Qiqian.jpg,10
10_ForestsClDeNe_851__0026_19_531730782976_1209649802028_CN_InnerMongolia_nan_EnheHada.jpg,10
10_ForestsClDeNe_851__0027_20_515834195707_1228162283403_CN_HeilongjiangSheng_nan_Huyuan.jpg,10
10_ForestsClDeNe_851__0028_62_502151057300_1122117960743_RU_TransbaikalTerritory_nan_Kyra.jpg,10
10_ForestsClDeNe_851__0029_00_517041531450_1207033907921_CN_InnerMongolia_nan_Mo_erDaoga.jpg,12
